site,square,h,d,r,d2,h2,r2,zmean,elevation,zrel,light,lpa,light_sd
1a,15,0.38610661029815674,2.3277065812414492,1.1238976412473372,2.383155041026466,0.437680721282959,1.1253954466504057,-1.0861077778473496,1.184361410842836,0.00910487142018978,0.8385865330604427,0.5048242251268673,0.10086019183274823
1a,16,0.7284809350967407,2.101685602934759,1.1704455068537871,2.148941857093549,1.3326362371444702,1.2964781293099998,-1.2291671918153764,1.0413019968748092,0.1142245063934475,0.8482727874960927,0.5185495501681651,0.08488061357149346
1b,1,1.0178403854370115,2.055454617742776,1.4687583029404232,2.200839557357716,1.0837353467941284,1.47298132123904,-2.107226212835312,1.6817578474521635,-0.17153373291343477,0.7777087310391945,0.36724744743735294,0.10482901867647622
1b,2,0.5389933586120605,2.1906117068133777,1.1164172951850533,2.150047640625661,1.259324073791504,1.3980423853249448,-1.6505290459513664,2.138455014336109,0.10419058415293692,0.8311239156926716,0.4631148210277663,0.11124634935402941
1b,3,0.6704651117324829,2.2289267193396323,1.6788534268170694,2.2800629757042388,0.972192883491516,1.705651139904762,-2.3803524582386015,1.408631602048874,-0.22887553555592888,0.733467820557509,0.289464940864835,0.10973438112338149
1b,4,0.6758676767349243,2.119388700153319,1.1524728314352546,2.141195445063229,1.1963419914245603,1.4059665248348192,-1.9204758583426476,1.868508201944828,0.13854694363623854,0.8407417703166591,0.47958026640190854,0.09807778016225212
1b,5,0.7576738595962524,2.071988126771824,1.1923213857881811,2.2178699071738435,1.0270237922668457,1.3174201329871604,-2.018021136817336,1.7709629234701394,0.06695271454006413,0.8471848716583106,0.5047995557388308,0.09384833452361997
1b,6,0.7332921028137207,2.237195227636032,1.4372036367643246,2.277099764750453,1.0356483459472656,1.3927082900880727,-2.1066075049310924,1.6823765553563832,0.03599155782163121,0.7660253239364389,0.3222657234376003,0.12352557265602983
1b,7,0.985100030899048,2.0796242473133164,1.6671772777000249,2.220065335366674,1.0733095407485962,1.5586677186113227,-2.628427197024226,1.1605568632632497,-0.25898145675063144,0.7427811941408521,0.2789360605187447,0.10436369173624453
1b,8,0.7200734615325928,2.214576640006962,1.3689553089362283,2.2278501001800484,0.9625989198684692,1.3331209044381829,-2.4489089292764663,1.3400751310110093,-0.07280167063474652,0.7822647889616055,0.36352581696073233,0.11491042494044658
1b,9,0.5635814666748047,2.317843933114255,1.2972699138831951,2.221242134905996,1.2991487979888916,1.4098997842986964,-2.4727156818807123,1.3162683784067633,0.0506159096069636,0.7674569153731279,0.3069049617160008,0.12130592227878823
1b,10,0.7601559162139893,2.2259321979273055,1.3565200355151183,2.293090863160153,0.974151849746704,1.3904766132675035,-2.399464943230152,1.3895191170573231,-0.01423126602768887,0.7579045082226826,0.30392721630380926,0.12277483095919588
1b,11,0.5593230724334717,2.193113130136994,1.2004358913742783,2.195395197920572,1.0560702085494995,1.2804113104114077,-2.397229791891575,1.3917542683959008,0.02007245261520163,0.8346474364205119,0.50674014736666,0.09376540132659886
1b,12,0.35422635078430176,2.29771510799936,1.123734194984558,2.1594626390032228,1.110931158065796,1.258181994957243,-2.434490329104662,1.3544937311828136,0.10814115792959944,0.8630777490768705,0.5804996071081897,0.07680417030964479
1b,13,0.9289772510528564,2.2338867809924805,2.159752656939738,2.2341998508305965,1.3236539363861084,1.7921655009170598,-2.99684754152894,0.7921365187585354,0.06850784848481428,0.7289362808296629,0.22190653154586726,0.13147194353586786
1b,14,1.0705111026763916,2.102487649699388,1.8258921733754003,2.2072208918833103,1.362537860870361,1.719347952936816,-2.914779523408413,0.8742045368790627,-0.07975018637776365,0.7525917038659989,0.24051242079336005,0.12072502765863347
1b,15,0.6091406345367432,2.201658941631024,1.3484782039716976,2.294474834395417,0.8515942096710205,1.4085329797176929,-2.6007907494425773,1.1881933108448983,0.07232957306653276,0.827661184832752,0.44108661902852586,0.10915310183322022
1b,16,0.5691399574279785,2.200334085671984,1.2537450637560947,2.155489130509808,1.2775506973266602,1.4570573554864128,-2.819702941644192,0.9692811186432836,0.08012865992039453,0.824555008504252,0.4642746064258164,0.10500389245033229
1c,1,0.3918142318725586,1.9583742176010217,1.088395518034846,1.934904417762097,1.3085025548934937,1.426008785897758,-3.034436867195368,0.09998305086493486,-0.17053872110024093,0.9127480425698843,0.718944254548155,0.0706075510821124
1c,2,0.8194320201873779,2.1782919095672306,1.452615916182454,2.176209193021618,1.338219165802002,1.5366793883463403,-1.9967226576179269,1.137697260442376,0.1252315672874451,0.7907319116453069,0.3277321719881731,0.13818733606244712
