date,Salinity,Temperature
2021-01-15T10:00:00Z,34.34493286266667,29.140666666666668
2021-01-15T10:10:00Z,34.08335743916667,29.1785
2021-01-15T10:20:00Z,33.854381626666665,28.819166666666668
2021-01-15T10:30:00Z,33.629055471,29.1975
2021-01-15T10:40:00Z,33.4697916055,29.309833333333334
2021-01-15T10:50:00Z,33.638701827,29.390666666666668
2021-01-15T11:00:00Z,33.5406267345,29.3795
2021-01-15T11:10:00Z,33.676344992666664,29.138833333333334
2021-01-15T11:20:00Z,33.831497567166664,29.003666666666668
2021-01-15T11:30:00Z,33.903134807,28.905666666666665
2021-01-15T11:40:00Z,33.9501656385,28.950333333333333
2021-01-15T11:50:00Z,33.974943804666665,28.975
2021-01-15T12:00:00Z,33.92046665583333,29.0325
2021-01-15T12:10:00Z,33.9316289605,29.15116666666667
2021-01-15T12:20:00Z,33.79958966833333,29.328833333333332
2021-01-15T12:30:00Z,33.851563453833336,29.373
2021-01-15T12:40:00Z,33.71399592433333,29.559666666666665
2021-01-15T12:50:00Z,33.562997882833336,29.6225
2021-01-15T13:00:00Z,33.600227722,29.574666666666666
2021-01-15T13:10:00Z,33.85773090466667,29.365
2021-01-15T13:20:00Z,33.22318293316667,29.699166666666667
2021-01-15T13:30:00Z,33.399072245333336,29.750333333333334
2021-01-15T13:40:00Z,33.2596772585,30.12
2021-01-15T13:50:00Z,32.76581646695652,31.62782608695652
